iter,loss,xT,omega,delta,c_mean,delta_mean_proxy,c
1,7.771120765758738,1.5632604536035168,-2.169096346578794,"[0.008558223321483345, 0.008541544070805401]",0.050000023174366255,0.008549883696144372,"[0.05004879359920866, 0.04995125274952385]"
50,8.614974392965042,1.4527593446868705,-2.169096346578794,"[0.008459121635881599, 0.008608445090416686]",0.04990586785582787,0.008533783363149142,"[0.04946924342603606, 0.05034249228561968]"
100,7.843583347048382,1.5540122176448439,-2.169096346578794,"[0.00833001681537049, 0.008713845914164341]",0.049836556948824995,0.008521931364767416,"[0.04871423385550952, 0.05095888004214047]"
150,8.384500194971201,1.485060605829625,-2.169096346578794,"[0.008089783659957456, 0.008954784984561004]",0.04983862105675879,0.008522284322259231,"[0.047309341840040396, 0.052367900273477194]"
200,8.589844450232814,1.452894084066679,-2.169096346578794,"[0.00786490615695123, 0.00920340535173806]",0.04990804561275028,0.008534155754344644,"[0.04599425022460995, 0.05382184100089061]"
250,7.854088343241767,1.5568376548038148,-2.169096346578794,"[0.007661005112819479, 0.009446629653240831]",0.050023027514827456,0.008553817383030154,"[0.04480182968484722, 0.05524422534480768]"
300,7.608919403534635,1.583661296948665,-2.169096346578794,"[0.007538895459743294, 0.009586439571859603]",0.05007478340524506,0.00856266751580145,"[0.04408772810164366, 0.05606183870884646]"
350,7.859745336107093,1.5503408431599834,-2.169096346578794,"[0.007420205968936563, 0.009727288588481745]",0.0501395782517997,0.008573747278709154,"[0.04339362774872699, 0.05688552875487242]"
400,7.880941580980458,1.5516013551580374,-2.169096346578794,"[0.007266978458337154, 0.009930687009661108]",0.05028627888427778,0.008598832733999131,"[0.04249754783077724, 0.05807500993777832]"
450,8.352637459316638,1.4909294971315836,-2.169096346578794,"[0.007064150318273325, 0.010234843505106042]",0.050582564792796075,0.008649496911689683,"[0.041311401672066525, 0.05985372791352562]"
500,8.585350320371917,1.4520420155450386,-2.169096346578794,"[0.006907119286468293, 0.010479156024964279]",0.05083777741208126,0.008693137655716287,"[0.04039307862717096, 0.06128247619699155]"
550,7.796248191535882,1.5577637753396119,-2.169096346578794,"[0.0067675708303384, 0.01070791516166501]",0.05109863102450843,0.008737742996001704,"[0.039576994305042905, 0.06262026774397395]"
600,7.18696278561886,1.63603536132266,-2.169096346578794,"[0.006654555047764185, 0.010895088164457898]",0.051315468051844386,0.008774821606111042,"[0.03891607399915288, 0.06371486210453589]"
650,8.12623206398096,1.5162474727147695,-2.169096346578794,"[0.006456935731164433, 0.011280060557711557]",0.05186329177128916,0.008868498144437995,"[0.037760389224850525, 0.06596619431772781]"
700,8.256036236584935,1.498176021912639,-2.169096346578794,"[0.006315558373904359, 0.011567377116683073]",0.052290020585794045,0.008941467745293715,"[0.03693360942403029, 0.0676464317475578]"
750,7.539541832866768,1.5920112277055198,-2.169096346578794,"[0.006181378402246958, 0.011856073909404399]",0.05274183051143722,0.009018726155825678,"[0.036148920189552014, 0.06933474083332243]"
800,7.951349327325064,1.5383198373332503,-2.169096346578794,"[0.006074270811367329, 0.012093110774282205]",0.053121746013321015,0.009083690792824766,"[0.03552255119829345, 0.07072094082834858]"
850,8.256631438049695,1.499973496370347,-2.169096346578794,"[0.005924967474582243, 0.01246688378665057]",0.05377809932641742,0.009195925630616407,"[0.03464941998802553, 0.0729067786648093]"
900,8.039697558111468,1.5286615235765462,-2.169096346578794,"[0.005846232338243528, 0.012651620241978773]",0.05408804906341663,0.00924892629011115,"[0.034188974117475505, 0.07398712400935775]"
