iter,loss,xT,omega,delta,c_mean,delta_mean_proxy,c
1,11.247158232329694,1.0775959628197402,-2.169096346578794,"[0.00854154435434397, 0.008558223040394889]",0.05000002318153043,0.00854988369736943,"[0.049951254407667456, 0.0500487919553934]"
50,11.100166553951095,1.0995720696212068,-2.169096346578794,"[0.008395791517094624, 0.008685797708142]",0.04994686989145765,0.008540794612618311,"[0.04909888664464357, 0.05079485313827172]"
100,11.155604558319268,1.0926033955626382,-2.169096346578794,"[0.00830001412413287, 0.008764164828752962]",0.04989596194627681,0.008532089476442916,"[0.04853877705276367, 0.05125314683978996]"
150,10.975305100585784,1.1193119254579273,-2.169096346578794,"[0.00818285838032292, 0.008869131100279731]",0.04986031971310134,0.008525994740301326,"[0.047853646106696034, 0.05186699331950665]"
200,11.305464673866508,1.0693181925753827,-2.169096346578794,"[0.007995486988330561, 0.00906323069553088]",0.049879993098776346,0.00852935884193072,"[0.04675789155905745, 0.053002094638495235]"
250,11.039657706272097,1.1105383778237532,-2.169096346578794,"[0.007773533503445495, 0.009318615942975067]",0.049977748165518934,0.00854607472321028,"[0.04545989970533326, 0.054495596625704606]"
300,11.615221877357143,1.0200446397723695,-2.169096346578794,"[0.007589304464070954, 0.009547035419238684]",0.05010696178684197,0.008568169941654819,"[0.04438252174728311, 0.055831401826400825]"
350,11.116724829474439,1.0984210980405176,-2.169096346578794,"[0.007421922856739352, 0.00976891181669184]",0.050266305519797584,0.008595417336715597,"[0.04340366816950674, 0.05712894287008843]"
400,11.212886217012453,1.083174585830492,-2.169096346578794,"[0.0073134266224901484, 0.009907760329652735]",0.05035505612114575,0.008610593476071442,"[0.0427691783425588, 0.0579409338997327]"
450,10.891107786857596,1.1314409119343614,-2.169096346578794,"[0.00714629967908912, 0.01015228070092874]",0.05058135587707328,0.00864929019000893,"[0.04179181404848299, 0.05937089770566356]"
500,11.339508352219072,1.063565618706759,-2.169096346578794,"[0.006990185364440267, 0.010396771752622973]",0.05083977102383934,0.008693478558531621,"[0.04087885199803861, 0.060800690049640074]"
550,10.862669233204167,1.1371348272245856,-2.169096346578794,"[0.0068723498475544076, 0.010582942345848624]",0.05103958399919902,0.008727646096701515,"[0.04018974571490714, 0.061889422283490904]"
600,11.219995065166353,1.0817176638868038,-2.169096346578794,"[0.0067693144278045195, 0.010748909014132103]",0.05122359608619913,0.008759111720968311,"[0.03958719092488138, 0.06286000124751687]"
650,11.15990073622941,1.0916966451774213,-2.169096346578794,"[0.006694105565998486, 0.010869403514354253]",0.05135601209621414,0.00878175454017637,"[0.039147366832898094, 0.0635646573595302]"
700,11.17219901003071,1.0892686642765061,-2.169096346578794,"[0.006600975734864063, 0.011027051293970974]",0.051544663722009484,0.008814013514417518,"[0.03860274027651045, 0.06448658716750852]"
750,11.224546566151547,1.0808051701027805,-2.169096346578794,"[0.006467161717182245, 0.011282343088743632]",0.05189986689702177,0.008874752402962939,"[0.03782019115386412, 0.06597954264017943]"
800,11.166177728577155,1.0901662173263629,-2.169096346578794,"[0.006379546966130755, 0.011446637164859871]",0.05212407860366529,0.008913092065495313,"[0.0373078169814568, 0.06694034022587378]"
850,11.307938310383816,1.0680974968374726,-2.169096346578794,"[0.006224649223617586, 0.011781064640416268]",0.0526490267276203,0.009002856932016927,"[0.036401969488021525, 0.06889608396721908]"
900,11.068813784051207,1.105704385263386,-2.169096346578794,"[0.006087197457137912, 0.012094262805017788]",0.053162912313155605,0.00909073013107785,"[0.03559814668135101, 0.0707276779449602]"
950,11.36785163686447,1.0598473609894217,-2.169096346578794,"[0.005963020282517029, 0.012396169993243016]",0.05368259802554752,0.009179595137880022,"[0.03487195415880577, 0.07249324189228927]"
1000,10.94430084704955,1.1246855750923659,-2.169096346578794,"[0.005841831932647925, 0.012712829048788754]",0.054254157836246986,0.00927733049071834,"[0.034163240389441754, 0.07434507528305222]"
1050,11.509221816828834,1.0385687252665672,-2.169096346578794,"[0.0057323526819139485, 0.013016388041594164]",0.05482165044469163,0.009374370361754057,"[0.03352300184721695, 0.07612029904216631]"
1100,11.266993646384009,1.0752461011975523,-2.169096346578794,"[0.005646165015119523, 0.013255854369473229]",0.05526983996859264,0.009451009692296376,"[0.03301897331417279, 0.07752070662301248]"
1150,11.261821089159644,1.0759928974644175,-2.169096346578794,"[0.005553534832109295, 0.013527951857062051]",0.0557946055506097,0.009540743344585673,"[0.032477268717741176, 0.07911194238347823]"
1200,10.871314900867368,1.1351556005379806,-2.169096346578794,"[0.0054461373335785304, 0.013866352311694299]",0.05647006229183005,0.009656244822636415,"[0.031849204336253885, 0.0810909202474062]"
1250,10.98908504698997,1.1177092191096742,-2.169096346578794,"[0.005338280407070393, 0.014229113881095566]",0.05721540798920237,0.009783697144082979,"[0.03121845320365605, 0.0832123627747487]"
1300,11.125159472759114,1.0976556134681528,-2.169096346578794,"[0.005203277985129258, 0.014730451535948362]",0.05828657870836841,0.00996686476053881,"[0.030428954250740898, 0.08614420316599593]"
1350,10.930640231213012,1.1256489066388247,-2.169096346578794,"[0.00510835331663541, 0.015101766364823275]",0.059094748439990144,0.010105059840729343,"[0.029873831421800924, 0.08831566545817936]"
1400,11.315782781967533,1.067474267738882,-2.169096346578794,"[0.004989927369284599, 0.015606023558986293]",0.060222925849625825,0.010297975464135446,"[0.029181272280364056, 0.09126457941888759]"
1450,11.148969171279452,1.0920278529659813,-2.169096346578794,"[0.004905178713039902, 0.015976259888751267]",0.061057696871040235,0.010440719300895584,"[0.02868565913206566, 0.0934297346100148]"
1500,11.349218066411005,1.0628207068704016,-2.169096346578794,"[0.004792027234322265, 0.01652476762387854]",0.06233068628722395,0.010658397429100401,"[0.028023945270314883, 0.09663742730413302]"
1550,11.159332966352338,1.0913697820688057,-2.169096346578794,"[0.004705823474008432, 0.016960947722011736]",0.06335402330696255,0.010833385598010083,"[0.02751982262179829, 0.09918822399212682]"
1600,10.786629212885892,1.1480545167616325,-2.169096346578794,"[0.004669091233429297, 0.01712627805873435]",0.06373004642118649,0.010897684646081823,"[0.0273050111757629, 0.10015508166661008]"
1650,11.330743673250272,1.0661847611565325,-2.169096346578794,"[0.004573494158625756, 0.017655339754527977]",0.06499750466184923,0.011114416956576867,"[0.02674595609086927, 0.10324905323282917]"
1700,11.266226908049363,1.0758311804064207,-2.169096346578794,"[0.004481949680890786, 0.01819264931282199]",0.06630092966447976,0.011337299496856388,"[0.026210600737404305, 0.1063912585915552]"
