iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,phi1,phi2,phi3
1,0.0,0.8453794864877463,0.8453794864877463,,,0.0,0.07080971887178296,-0.05909029472782864,2.999999858905925e-05,2.9999998856147823e-05,-2.999970000054452
2,0.0,0.9125488678105503,0.9797182491333544,,,0.0,0.008885825260096307,-0.014581433521619674,3.147671912156779e-05,2.8780337638802753e-05,-2.9999610297220154
3,0.0,1.0249577969640338,1.2497756552710002,,,0.0,0.09455390502432616,0.07283897374331941,1.4780986662546506e-05,1.0866160132560275e-05,-2.9999450383944404
4,0.0,0.9804763131498389,0.8470318617072542,,,0.0,0.01924802685574025,-0.033628932762582345,2.151478241077543e-06,-3.0412769406027696e-06,-2.9999355525344353
5,-0.005500560241953654,0.9499439758046346,0.8278146264238176,0.9499439758046346,-0.5500560241953654,-0.005500560241953654,0.03354943321287066,-0.0371014473253821,-1.3620123744321939e-05,-1.9639077302237832e-05,-2.9999395929909496
6,-0.005500560241953654,1.0122680107244149,1.1569996610866478,0.9499439758046346,-0.5500560241953654,0.0,0.042142357867575544,0.050036061548921054,-2.3491697936112583e-05,-3.0930898538949805e-05,-2.999933482627972
7,-0.005500560241953654,0.9539191847792745,0.6879741194076526,0.9499439758046346,-0.5500560241953654,0.0,0.04167517971662564,-0.0452307086463207,-3.036489532052934e-05,-3.847578701955416e-05,-2.9999283484227344
8,-0.005500560241953654,0.9400158138532886,1.1802588006410704,0.9499439758046346,-0.5500560241953654,0.0,0.03381073047124967,0.039859407179926025,-4.0574531172482567e-05,-4.915692864680562e-05,-2.999926210133388
9,-0.005500560241953654,1.0018671293296428,1.1562884390890251,0.9499439758046346,-0.5500560241953654,0.0,0.016013282766491235,0.018812747634988258,-5.495557363779075e-05,-6.355811767721044e-05,-2.9999246789173526
10,-0.01011352559468105,1.0387034647272606,1.0119963034119073,1.0387034647272606,-0.4612965352727394,-0.004612965352727395,0.019453302290808598,-0.03022228173533063,-7.116585560047552e-05,-7.935992911097007e-05,-2.999922875215656
11,-0.01011352559468105,1.0656308289202454,1.2916364820515722,1.0387034647272606,-0.4612965352727394,0.0,0.10503247576545018,0.04253531659325252,-8.710980288871424e-05,-9.452167978684799e-05,-2.999928207168656
12,-0.01011352559468105,1.132921622245771,1.0244280860352801,1.0387034647272606,-0.4612965352727394,0.0,0.020743981192354762,0.024541476042470294,-0.00010198631870163416,-0.00010872922132256808,-2.999935362917809
13,-0.01011352559468105,1.0740148456535648,0.8857249176800394,1.0387034647272606,-0.4612965352727394,0.0,0.03235647180486495,-0.04388066668930185,-0.00011382414011311988,-0.00011961376855421182,-2.9999439285886873
14,-0.01011352559468105,0.9935986374006422,0.7542073978244119,1.0387034647272606,-0.4612965352727394,0.0,0.045872213877159056,-0.0348144260780172,-0.00011989822922851598,-0.00012455742430718763,-2.9999541567512384
