iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,phi1_asset1,phi2_asset1,phi1_asset2,phi2_asset2
1,0.0,0.5769732495513333,0.5769732495513333,,,0.0,0.008732487621317061,-0.06435879085473747,4.852066034399596,0.9582364407715847,2.5905376930102215,28.052331623972776,-14.211948748549759,-4.999999382822819e-05,-4.99992278429139e-05,4.999999556056142e-05,4.9999995493776713e-05
2,0.0,1.3089882693477062,2.0410032891440792,,,0.0,0.012192626786496975,0.017786304383301307,6.046948950162501,1.075554973984525,2.6251894205599435,156.55302120266595,-58.76643639387352,-5.987134285146056e-05,-1.3152364993946768e-05,5.837309177022757e-05,7.65567972726199e-05
3,0.0,0.8958874809430318,0.06968590413368306,,,0.0,0.0014847595466815561,-0.02303494134597786,42.5624994522228,0.31403758223403394,2.6744852483654538,2924.3009226311565,-1652.8751950381095,-7.243547972242676e-05,1.5344443424286836e-06,6.182240385099574e-05,9.127113188140939e-05
4,0.0,1.1315106937706527,1.838380332253515,,,0.0,0.009210394985185916,-0.003976054334189312,5.03337484452348,1.1290532368999135,2.633264432524044,60.76011869395222,-13.331167688523918,-8.382624770688297e-05,1.0902615412476664e-05,7.0569308251805e-05,0.00010674557939347411
5,0.0,1.0954339601553769,0.9511270256942734,,,0.0,0.005740895020478775,0.002288386142481503,12.281127229143454,1.1509644608056768,2.7002985021378683,552.5718916884398,-370.57294849346613,-0.00011238518769724096,-1.1474161853642124e-05,5.622659846361269e-05,9.385480449519386e-05
6,0.0,0.6335965960822865,-1.6755902242831662,,,0.0,0.007891750238473444,0.06050244322324701,54.87347981446273,42.46115138686805,2.674295189913594,53007.8457902277,-929.0243470935484,-0.00011924742428636618,-1.2240682936588284e-05,4.2745905942829094e-05,8.169278321959036e-05
7,0.0,0.6319952076883724,0.6223868773248878,,,0.0,0.008098628261770026,0.020221529542814396,5.105412667099166,0.8369717248751696,2.6301820130002116,37.63252818657163,-16.905642156603175,-0.00012892893503307402,-1.219842510172915e-05,1.6504496604232644e-05,5.55702938816666e-05
8,0.0,0.6389270313728198,0.6874497971639535,,,0.0,0.020916720422111592,-0.05221635312133362,3.5398869154132946,1.0107265433151478,2.680742739034418,19.424032976050057,-12.656498101735156,-0.00012572162180252746,3.7131826532948004e-06,-1.6098871123200752e-05,2.4841657391992427e-05
9,0.0,0.3474817650626054,-1.9840803654191097,,,0.0,0.007221596563761549,0.03708122976680837,52.38594082835833,-12.701764639153176,2.62162947140108,16709.600682220855,-16708.600682220855,-0.0001141292828864197,2.6407368954678895e-05,-3.934928776229173e-05,3.860245008658575e-06
10,0.0,0.33768510692972387,0.2495151837337902,,,0.0,0.010294967103149137,0.09783124071706914,30.109202087309036,13.483023319694988,2.6995553504107397,25047.732675917854,-188.48630488412618,-9.709190683295593e-05,5.7599830223421913e-05,-6.797960155692447e-05,-1.8719774040556817e-05
11,0.0,0.3513588905553944,0.4880967268120995,,,0.0,0.0025088048505125743,-0.04524368048363339,75.32793407809567,12.073577535557614,2.625720754779763,28932.961099349,-1675.8907827800576,-8.721510301770819e-05,8.148280610545264e-05,-8.95944452986883e-05,-3.418769823323179e-05
12,0.0,0.660527571116382,4.061383057287246,,,0.0,0.05329261313401939,-0.033035447030170764,2.1796472767763624,0.9939666811123465,2.6843510158454564,20.606921579709848,-11.199424716217802,-0.00010260728639739072,8.520622475469769e-05,-0.00010960888176616768,-3.98148533289923e-05
13,0.0,0.4658836104735698,-1.869843917240177,,,0.0,0.015347456981533752,-0.018884167154187833,8.893639790063792,0.058806611481004745,2.6717558796612173,775.715600733649,-498.3015327409088,-0.00011719605715414602,8.869015768382626e-05,-0.0001368302320906221,-5.66616204074316e-05
14,0.0,0.3199623725433253,-1.577013720549853,,,0.0,0.0037962017184871564,-0.004021794234809071,34.611308440985376,1.3107075219943642,2.697553338982463,7207.415404389376,-5743.139255307762,-0.00013485961199549332,8.64173306943953e-05,-0.00016832859034302745,-7.99153376664974e-05
15,0.0,0.2706988146552826,-0.41899099577731447,,,0.0,0.002413000784169835,-0.07999074737891454,112.30551640651339,15.752841650141914,2.664511412891772,33704.14469619612,-7110.083416765894,-0.0001547843254334371,8.04100466128021e-05,-0.0002003874510149416,-0.00010364350283305479
16,0.0,0.4790794257122925,3.604788591567439,,,0.0,0.06465567874078561,0.062227264560953295,2.0043804004971597,0.9784313037679567,2.685377656724284,15.984088186005634,-7.804681992201548,-0.00017771020730588587,8.46549606141506e-05,-0.00022082403954233872,-0.00010377944031878502
17,0.0,0.533105789996307,1.397527618540539,,,0.0,0.0012270590647199522,-0.05771532409665302,77.70968188162796,5.5105639992069335,2.596112702350558,16226.395877252016,-3802.2604757064637,-0.00020339217398955957,8.275378306255696e-05,-0.00023977903308775418,-0.00010459278776472353
18,0.0,0.32575130837974803,-3.199274879101755,,,0.0,0.011451009733678784,0.012566043467230663,35.53122090001811,-7.631206683256679,2.6566730874798052,16999.51016263666,-10225.414595242662,-0.00021519168600097387,9.165269082374318e-05,-0.000252748337005586,-0.00010145477682458099
19,0.0,0.5008230789197039,3.652114948638909,,,0.0,0.03181160094557955,0.03140716026597877,2.845504561171475,0.9725265862389672,2.6957297633894384,17.354385148086784,-12.206986599352371,-0.00023612269078193595,8.728182751745395e-05,-0.00027372424458695126,-0.00010910892127424478
20,7.433770499498173e-05,0.5132459001003654,0.7492795025329342,0.5132459001003654,-1.4867540998996347,7.433770499498173e-05,0.0031645532395596426,-0.01128833083373671,58.40687991294468,-24.077944321739775,2.6365084638861425,36421.81042385991,-36420.81042385991,-0.00025908139565028454,7.874216685493391e-05,-0.0002929801017148155,-0.00011608312557525601
21,7.433770499498173e-05,0.5059457506041084,0.43097025962619284,0.5132459001003654,-1.4867540998996347,0.0,0.00791659002175323,0.05739606763005835,19.28888765566646,-0.39139181691442676,2.6759391632226923,8841.8426907761,-1242.33525818328,-0.00028226212211453504,6.946006869452773e-05,-0.00032025981227018155,-0.0001323701740600668
