iter,omega,mean_terminal,xT,mean_xT_window,mean_xT_minus_z,domega,loss_critic,loss_actor,avg_gross_leverage,avg_cash_weight,avg_abs_action,max_gross_leverage,min_cash_weight,episodes_per_iter,rho1_asset1,rho2_asset1,rho1_asset2,rho2_asset2
1,0.0,0.6678923694900252,0.6678923694900252,,,0.0,8.854833477186002,-4.245124129482914,2.607411629541983,1.5112421449356375,1.039170023233171,2.999974176266588,-1.985703402705088,32,1.0912090908687941,-3.363936363552462,0.6472717527321216,-1.3302452068531605
2,0.0,0.67996853978774,0.6920447100854549,,,0.0,10.397487406496545,-4.301696457053196,2.603902025526401,1.1794322655085077,1.0859018558673692,2.9999805456030044,-1.992863583102202,32,1.0915032112210472,-3.364235282957051,0.6475694367806275,-1.3305454086974038
3,0.0,0.6523344346708204,0.5970662244369812,,,0.0,15.720178012619284,-5.046366604328196,2.657737960588014,1.1649867467981179,0.9855513277360152,2.9999886782033043,-1.9960081221482717,32,1.0917984798360016,-3.364535384921414,0.6478680088495103,-1.3308459608803447
4,0.0,0.6814929051783885,0.7689683167010928,,,0.0,4.6320295882914255,-3.475429458932825,2.5586513122434633,1.6931471032234935,1.1180103220660533,2.9999451453726316,-1.9964914364784523,32,1.0920932480768895,-3.364815486910585,0.648168292729698,-1.331119708965415
5,0.0,0.6852419753403151,0.7002382559880218,,,0.0,7.760634949955305,-4.164710718729176,2.6006755396577206,1.4453939982521407,1.0533030457693107,2.9999154530940997,-1.9919799139707783,32,1.092390832850325,-3.365095950142513,0.6484693103896448,-1.3313991695059177
6,0.0,0.6961385456000104,0.7506213968984875,,,0.0,9.781198439043733,-4.009168054045209,2.5930701080043965,1.41143340933562,1.1076552444061298,2.9999563675784033,-1.9970345649807753,32,1.0926885176003982,-3.3653807629692425,0.6487669963117887,-1.3316854422661688
7,0.0,0.702559793922014,0.7410872838540351,,,0.0,7.038212271323362,-3.854937059165099,2.586123828303514,1.7389363500459392,1.0848935395315933,2.99990643053995,-1.979017424883239,32,1.092985704265192,-3.36566179689218,0.6490669576574871,-1.3319670955915877
8,0.0,0.7034869961189834,0.7099774114977682,,,0.0,7.783723385069016,-3.843525930894904,2.597224351705571,1.514313609867094,1.0976048744595244,2.9999511765930835,-1.9968026197905884,32,1.0932835889392416,-3.3659447171433383,0.6493660761379964,-1.3322280230965404
9,0.0,0.709293327225424,0.7557439760769495,,,0.0,5.195216046798894,-3.599033598172255,2.591381777496422,1.192534834279628,1.0851563138044331,2.999993005066062,-1.9945013481781362,32,1.0935761158148474,-3.3662335068562963,0.6496625065177014,-1.3325006139107791
10,0.0038882391999123978,0.7111760800087603,0.7281208550587859,0.7111760800087603,-0.3888239199912398,0.0038882391999123978,7.506062421897081,-3.9170693680053144,2.5962415873198235,1.3366316849373632,1.0847012292277434,2.999956681548916,-1.994562027997262,32,1.0938705532315438,-3.3665223392981227,0.649960024499042,-1.3327727424665265
11,0.0038882391999123978,0.7232011158246384,0.7881427276488064,0.7111760800087603,-0.3888239199912398,0.0,6.089753218280087,-3.3618885180522464,2.579118309302172,1.4763674603488997,1.1121634581067505,2.9999770026382246,-1.9972669102621223,32,1.0941650662750502,-3.366811238034469,0.6502557121177247,-1.3330522630205972
12,0.0038882391999123978,0.7264781392598906,0.724814944437977,0.7111760800087603,-0.3888239199912398,0.0,7.822763836220496,-3.6519232208259256,2.5908009406822243,1.553841333188465,1.0547491376491627,2.9999614366010032,-1.9927582646346516,32,1.094462668794358,-3.367096751872438,0.6505533558441814,-1.3333261604567104
13,0.0038882391999123978,0.7422400950231671,0.7546857820697466,0.7111760800087603,-0.3888239199912398,0.0,5.379945505261079,-3.1531396859434815,2.5786408935514045,1.7014005070772975,1.1329540054500349,2.999906938997933,-1.9928703052546437,32,1.0947604705483072,-3.3673768792309735,0.6508540270461303,-1.3335958273601076
14,0.0038882391999123978,0.7424382776232852,0.7709501427022745,0.7111760800087603,-0.3888239199912398,0.0,4.939721525278161,-3.165343727825684,2.5686602134015324,1.6443586352908226,1.1128666853663565,2.999964675415087,-1.996137385269484,32,1.0950602598660344,-3.3676516384200608,0.6511590087609167,-1.333857027588923
15,0.0038882391999123978,0.7561066744090924,0.8369222238460936,0.7111760800087603,-0.3888239199912398,0.0,5.6549798493430785,-3.2477404042528732,2.5802717813876312,1.3828106787376246,1.152377057747299,2.9999040100422807,-1.9734995227348433,32,1.095356218092773,-3.3679285431699633,0.651462615372091,-1.3341192993199522
16,0.0038882391999123978,0.7545570575761349,0.7351252285689123,0.7111760800087603,-0.3888239199912398,0.0,4.7117175288862585,-2.8293554094639264,2.5727729113900395,1.439091714894135,1.1476380985953012,2.999948214497135,-1.9968091375229413,32,1.0956509185726244,-3.3682040600077485,0.6517649479432266,-1.3343818395003375
17,0.0038882391999123978,0.7428792102695729,0.6243088107884153,0.7111760800087603,-0.3888239199912398,0.0,17.416521234922662,-5.15711628270212,2.6291454914283543,1.07654297592185,1.0047894435718345,2.9999636352702774,-1.9981203584735103,32,1.0959392677173891,-3.36848871226014,0.652064103055791,-1.3346582621626262
18,0.0038882391999123978,0.7471347917856833,0.7525332266588718,0.7111760800087603,-0.3888239199912398,0.0,5.307782197309528,-3.148669883721829,2.565161133351178,1.688142860255129,1.0925316411851504,2.999944475281273,-1.9838283771267569,32,1.0962317406181301,-3.368767110145208,0.6523643837508348,-1.334932797926909
19,0.0038882391999123978,0.7464147282904747,0.7485433411248641,0.7111760800087603,-0.3888239199912398,0.0,9.184505190248263,-3.668486180289195,2.601211475287352,1.3127935681727174,1.0856331370010652,2.999938257116031,-1.9716810231847586,32,1.0965215757722728,-3.3690483176977146,0.6526606137602495,-1.3352190299080864
20,0.0076175665366991115,0.7509040457901813,0.7730140300558521,0.7509040457901813,-0.34909595420981876,0.0037293273367867137,7.863728119248411,-3.371478525725918,2.581022038395574,1.6455278603119612,1.1347413701997668,2.9997731413059996,-1.9898300156952031,32,1.0968132474825247,-3.3693256709740043,0.6529564722062275,-1.335488859166505
21,0.0076175665366991115,0.7501122635454758,0.7802249052017518,0.7509040457901813,-0.34909595420981876,0.0,5.83921571992212,-3.186070114287988,2.566570559095718,1.684200343700804,1.129121969396118,2.9999474282297998,-1.9907286554156023,32,1.0971065188321203,-3.369601485722875,0.6532534833288715,-1.3357398464105767
22,0.0076175665366991115,0.7479350442206186,0.7030427511894042,0.7509040457901813,-0.34909595420981876,0.0,6.933724857661938,-3.941832906644298,2.596050749400744,1.2335466272431197,1.0138770335626583,2.9999858685448673,-1.995068596468505,32,1.097397063651426,-3.36988366900048,0.6535458370423904,-1.335999400663252
23,0.0076175665366991115,0.7384986037836428,0.6603213776999893,0.7509040457901813,-0.34909595420981876,0.0,8.484896277439745,-3.7836715866961703,2.596312996756084,1.3807551093249661,1.057531651161235,2.999959243244959,-1.986485849531657,32,1.0976817030207904,-3.3701689535904604,0.6538302934886391,-1.3362691490226117
24,0.0076175665366991115,0.7346931279638904,0.7328953845047499,0.7509040457901813,-0.34909595420981876,0.0,5.296047936936882,-3.12255447960862,2.5622040330101266,1.7913015916413446,1.0914012896400682,2.9999787128754134,-1.9818784718019575,32,1.0979746838508961,-3.3704449043751166,0.6541193610406832,-1.3365359627017983
25,0.0076175665366991115,0.7223822870538845,0.7138138147460347,0.7509040457901813,-0.34909595420981876,0.0,7.487454045965651,-3.5130716029217717,2.5819079364994812,1.46025230758759,1.0839740042663188,2.9999602270210968,-1.9914465478878791,32,1.0982679050722406,-3.370717934523506,0.654402037124779,-1.3368015632317387
26,0.0076175665366991115,0.7169298543823628,0.680600901853695,0.7509040457901813,-0.34909595420981876,0.0,6.9589828817896535,-3.5266125302860285,2.6080504657815986,1.4535183667972889,1.0799185718082698,2.9999321288494465,-1.9961242511701764,32,1.098562980342481,-3.3709928862430707,0.654686231968629,-1.3370647858796234
27,0.0076175665366991115,0.7306217964318258,0.7612282312830451,0.7509040457901813,-0.34909595420981876,0.0,7.073682809074006,-3.4879985850435173,2.5736640815062612,1.4777486492445293,1.1033394773604304,2.9999747778894754,-1.9953983068865306,32,1.098859375431355,-3.3712665703952265,0.6549735112096838,-1.337323355646593
28,0.0076175665366991115,0.7244968564613117,0.6912838269537307,0.7509040457901813,-0.34909595420981876,0.0,5.009367565234035,-3.1412788999345658,2.577410388246996,1.6176467431231973,1.0931499305942696,2.999955067639074,-1.9892860217040855,32,1.0991630720004664,-3.3715324383820486,0.6552629433667545,-1.3375692868436222
29,0.0076175665366991115,0.7296064209901998,0.799638986413746,0.7509040457901813,-0.34909595420981876,0.0,8.967164070116327,-3.2703333268360355,2.579686960402559,1.6342513651262713,1.0939951838489717,2.9999201689831585,-1.981003052787669,32,1.09946510032731,-3.371794787527315,0.6555572829079229,-1.3378009301075988
30,0.011364125937353578,0.7227592503543906,0.7045423236977584,0.7227592503543906,-0.3772407496456095,0.003746559400654466,5.049752749382261,-3.317955520602119,2.579480984371883,1.5971208258163567,1.0844431406895776,2.9999563261753814,-1.970250149095698,32,1.099766465958036,-3.372055412678085,0.6558512489125087,-1.3380350541896016
